mode,seed_index,threshold,k,precision_at_k,recall_at_k,f1_score,ndcg_at_k
semantic,375,2,20,0.85,0.04336734693877551,0.08252427184466019,0.8516974164383655
semantic,42,2,5,1.0,0.0196078431372549,0.038461538461538464,1.0
semantic,42,2,10,0.9,0.03529411764705882,0.0679245283018868,0.9266360779006401
semantic,42,2,20,0.95,0.07450980392156863,0.13818181818181818,0.9526533201221142
semantic,163,2,5,1.0,0.01160092807424594,0.02293577981651376,1.0
semantic,163,2,10,0.9,0.02088167053364269,0.04081632653061224,0.9305687780632227
semantic,163,2,20,0.9,0.04176334106728538,0.07982261640798226,0.919681346489914
semantic,600,2,5,1.0,0.00741839762611276,0.014727540500736377,1.0
semantic,600,2,10,1.0,0.01483679525222552,0.029239766081871347,1.0
semantic,600,2,20,0.95,0.028189910979228485,0.0547550432276657,0.9671350294324229
semantic,264,2,5,1.0,0.010775862068965518,0.021321961620469083,1.0
semantic,264,2,10,1.0,0.021551724137931036,0.042194092827004225,1.0
semantic,264,2,20,1.0,0.04310344827586207,0.08264462809917356,1.0
semantic,0,2,5,1.0,0.008741258741258742,0.01733102253032929,1.0
semantic,0,2,10,0.9,0.015734265734265736,0.030927835051546396,0.9216017310213247
semantic,0,2,20,0.9,0.03146853146853147,0.06081081081081082,0.916539346457806
semantic,463,2,5,1.0,0.007072135785007072,0.014044943820224719,1.0
semantic,463,2,10,1.0,0.014144271570014143,0.027894002789400275,1.0
semantic,463,2,20,1.0,0.028288543140028287,0.05502063273727647,1.0
semantic,731,2,5,1.0,0.007352941176470588,0.014598540145985401,1.0
semantic,731,2,10,1.0,0.014705882352941176,0.028985507246376812,1.0
semantic,731,2,20,1.0,0.029411764705882353,0.05714285714285715,1.0
semantic,51,2,5,1.0,0.009025270758122744,0.01788908765652952,1.0
semantic,51,2,10,1.0,0.018050541516245487,0.035460992907801414,1.0
semantic,51,2,20,1.0,0.036101083032490974,0.06968641114982578,1.0
semantic,572,2,5,1.0,0.008116883116883116,0.01610305958132045,1.0
semantic,572,2,10,1.0,0.016233766233766232,0.03194888178913738,1.0
semantic,572,2,20,1.0,0.032467532467532464,0.06289308176100628,1.0
